beta,gamma,N,I0,days,peak_I_frac,time_to_peak,total_recovered_frac,R0_basic,beta_minus_gamma,beta_over_gamma,severe_outbreak
1.1835384679783487,0.24749529788842356,2448,43,90,0.5024318456860589,6.5,0.9950438969770958,4.782064459713148,0.9360431700899252,4.782064459713148,1
0.23184828704270935,0.48903005823654017,3638,37,171,0.01017042330951072,0.0,0.019092426171346297,0.47409823412238206,-0.2571817711938308,0.47409823412238206,0
1.2004900273877352,0.10765113470399565,4278,23,140,0.7301521957792242,8.0,0.999997374868142,11.151670910749601,1.0928388926837396,11.151670910749601,1
1.3974709843880426,0.33973930403629904,2168,20,178,0.4531882784546563,6.5,0.9897127599099064,4.113362710128857,1.0577316803517436,4.113362710128857,1
0.7207798783582635,0.1522574248031496,914,28,186,0.48764706602858093,9.0,0.9934224162292236,4.733955531496376,0.5685224535551139,4.733955531496376,1
1.258683640789615,0.33424897960492916,787,9,170,0.4157825483869919,6.5,0.9830601668549338,3.765706756314816,0.9244346611846858,3.765706756314816,1
0.5963363553818157,0.4868141109777065,2505,44,161,0.0330997638447515,12.0,0.39692667904988305,1.2249775467357493,0.10952224440410924,1.2249775467357493,0
0.3724941909927546,0.26002445167716537,4002,25,85,0.05630778642535284,32.0,0.5443420963185589,1.4325352427056615,0.11246973931558923,1.4325352427056615,0
0.3160052888945669,0.3573720289591046,4651,37,123,0.007955278434745217,0.0,0.05534202710482201,0.884247404070699,-0.041366740064537666,0.884247404070699,0
0.5561555013934127,0.21670686771569103,4853,4,136,0.2522972409433396,23.5,0.9081084319982675,2.5663953674189135,0.3394486336777217,2.5663953674189135,1
0.3652599027179999,0.10846467740096224,3589,24,119,0.3526487066245269,24.0,0.9638916810881072,3.3675470343929637,0.2567952253170377,3.3675470343929637,1
1.0377395925555144,0.24671836349254883,1521,8,179,0.44972391743565726,9.0,0.9891052817783701,4.206170865699891,0.7910212290629656,4.206170865699891,1
1.0803711428031488,0.1905649886219185,3955,41,132,0.5505588084434354,7.5,0.9981506044756225,5.66930552467121,0.8898061541812303,5.66930552467121,1
0.6424697306422442,0.17974764676860988,4121,12,161,0.3799164115623127,16.0,0.9734572626081218,3.5742872977319085,0.46272208387363434,3.5742872977319085,1
0.2956534770530337,0.13995869111379874,4122,1,175,0.17586024539741676,55.0,0.8291524855821547,2.112433852447515,0.15569478593923494,2.112433852447515,1
1.030791199228845,0.3673244203818508,4041,14,173,0.296538045705647,10.5,0.9378736431059328,2.80621473017582,0.6634667788469941,2.80621473017582,1
0.7424820857536759,0.3059335381788022,667,7,109,0.23772113643601891,11.5,0.894370056811888,2.4269391651978145,0.4365485475748737,2.4269391651978145,1
1.0357641465066603,0.26199329276440964,1015,42,147,0.43816213829901596,6.0,0.9859599191529269,3.9533994766730274,0.7737708537422506,3.9533994766730274,1
1.1709984003824359,0.3356232440002659,3044,28,90,0.38627238011961057,7.5,0.9751420311970888,3.489026523983864,0.83537515638217,3.489026523983864,1
0.5255301372876571,0.06386802555557274,3016,18,132,0.6389694908117519,16.5,0.9993928968275596,8.228376135260103,0.4616621117320843,8.228376135260103,1
0.40041854194734083,0.23383788967608626,4966,42,84,0.10921711997638235,25.0,0.7067931534638463,1.712376649062319,0.16658065227125457,1.712376649062319,1
0.18162383836469242,0.17662275140989847,1552,45,115,0.028994845360824743,0.0,0.24230598490068586,1.0283150778417423,0.005001086954793954,1.0283150778417423,0
1.026683120617653,0.30066446855357526,2772,39,199,0.3752398517726595,8.0,0.9716729680135203,3.414713835514983,0.7260186520640777,3.414713835514983,1
0.6689416060160986,0.4163091730997156,3489,16,100,0.08827760805485117,18.0,0.6576993807257385,1.606838497060625,0.25263243291638304,1.606838497060625,0
0.13179690238740466,0.09052153734903878,3971,36,163,0.06177657399106846,78.0,0.5345011592598332,1.4559728684148796,0.041275365038365874,1.4559728684148796,0
0.3257804906470425,0.2754701487965136,2578,46,98,0.02806812634930775,19.5,0.352837674637034,1.1826344599236143,0.050310341850528906,1.1826344599236143,0
1.0748485251088304,0.25077032400831384,1247,19,108,0.45927706508646077,7.5,0.9904066530605308,4.286187089159704,0.8240782011005165,4.286187089159704,1
0.9823956303664437,0.21281567474902569,1856,48,90,0.486135001486465,7.0,0.9933319273835842,4.61618079366093,0.7695799556174181,4.61618079366093,1
0.26520826296872146,0.4828539490472815,2148,45,139,0.02094972067039106,0.0,0.04472444183047304,0.5492515148566218,-0.21764568607856005,0.5492515148566218,0
0.47221794604332734,0.48612936980647575,3648,13,173,0.00356359649122807,0.0,0.05985625498932412,0.9713832888379353,-0.013911423763148412,0.9713832888379353,0
1.103646264822594,0.2522126759647049,3816,14,89,0.46524923726425155,9.0,0.9913652243085579,4.375855656743598,0.851433588857889,4.375855656743598,1
1.3636433551613782,0.255099330425125,933,35,104,0.5467854431061788,5.0,0.997877885015637,5.345538747157258,1.1085440247362532,5.345538747157258,1
0.5283392738109135,0.3106488060238532,2961,9,135,0.10445058304842386,24.0,0.7004565536998719,1.7007606775425523,0.2176904677870603,1.7007606775425523,1
1.1619273417692941,0.37375833017792154,4354,33,131,0.34110192942942275,8.0,0.9594664697977648,3.1087664085404536,0.7881690115913726,3.1087664085404536,1
0.9782323769834204,0.312844086010731,926,32,155,0.3486405986025929,6.5,0.9601698274532,3.1269006534771626,0.6653882909726894,3.1269006534771626,1
0.6821303630388534,0.06872637823785162,879,9,139,0.6895120453114097,12.0,0.9998676584045654,9.925306418419188,0.6134039848010018,9.925306418419188,1
0.5618056972658995,0.11503588498972112,3549,6,101,0.48656385654673434,19.0,0.9937244906016047,4.883742993032991,0.44676981227617835,4.883742993032991,1
